Name,WHO Region,Cases - cumulative total,Cases - cumulative total per 100000 population,Cases - newly reported in last 7 days,Cases - newly reported in last 7 days per 100000 population,Cases - newly reported in last 24 hours,Deaths - cumulative total,Deaths - cumulative total per 100000 population,Deaths - newly reported in last 7 days,Deaths - newly reported in last 7 days per 100000 population,Deaths - newly reported in last 24 hours
Guinea-Bissau,Africa,9614,489,,,,177,9,,,
Eswatini,Africa,75191,6481,,,,1427,123,,,
Belize,Americas,71381,17952,,,,688,173,,,
Bahamas,Americas,38084,9685,,,,844,215,,,
Mozambique,Africa,233731,748,,,,2250,7,,,
Uzbekistan,Europe,175081,523,,,,1016,3,,,
Namibia,Africa,172280,6780,,,,4103,161,,,
Belgium,Europe,4858260,42163,970,8,970,34339,298,,,
Timor-Leste,South-East Asia,23460,1779,,,,138,10,,,
Cambodia,Western Pacific,139087,832,2,,2,3056,18,,,
Cook Islands,Western Pacific,7203,41010,,,,2,11,,,
Sao Tome and Principe,Africa,6736,3074,,,,80,37,,,
Maldives,South-East Asia,186694,34538,,,,316,58,,,
Ireland,Europe,1733658,34922,412,8,412,9492,191,,,
Argentina,Americas,10094643,22335,,,,130733,289,,,
South Africa,Africa,4072636,6867,,,,102595,173,,,
Fesco,Other,4,,,,,0,,,,
Pitcairn,,4,8000,,,,0,,,,
Norway,Europe,1506490,28066,161,3,161,5732,107,,,
Puerto Rico,Americas,1252713,43788,,,,5938,208,,,
Yemen,Eastern Mediterranean,11945,40,,,,2159,7,,,
Nepal,South-East Asia,1003450,3444,,,,12031,41,,,
Colombia,Americas,6376277,12531,,,,142727,281,,,
Saint Pierre and Miquelon,,3426,59120,,,,2,35,,,
Equatorial Guinea,Africa,17130,1221,,,,183,13,,,
Costa Rica,Americas,1230653,24158,,,,9368,184,,,
Brazil,Americas,37519960,17652,,,,702116,330,,,
Türkiye,Europe,17004677,20162,,,,101419,120,,,
Paraguay,Americas,735759,10316,,,,19880,279,,,
Kiribati,Western Pacific,5085,4257,,,,24,20,,,
Germany,Europe,38437756,46218,,,,174979,210,,,
El Salvador,Americas,201806,3111,,,,4230,65,,,
Kazakhstan,Europe,1503687,8008,,,,19072,102,,,
Mexico,Americas,7702809,5974,,,,334958,260,,,
Honduras,Americas,472606,4772,,,,11114,112,,,
Montenegro,Europe,251280,40009,,,,2654,423,,,
Uruguay,Americas,1037893,29878,,,,7625,220,,,
Suriname,Americas,82506,14064,,,,1404,239,,,
Fiji,Western Pacific,69047,7702,,,,885,99,,,
Bhutan,South-East Asia,62697,8125,,,,21,3,,,
United Republic of Tanzania,Africa,43223,72,,,,846,1,,,
Mayotte,,42027,15405,,,,187,69,,,
Curaçao,Americas,45883,27962,,,,305,186,,,
Peru,Americas,4536733,13759,,,,221583,672,,,
Haiti,Americas,34228,300,,,,860,8,,,
Japan,Western Pacific,33803572,26727,,,,74694,59,,,
Jersey,,66391,61589,,,,161,149,,,
Dominican Republic,Americas,661180,6095,,,,4384,40,,,
Cameroon,Africa,125137,471,,,,1974,7,,,
Guatemala,Americas,1250282,6979,,,,20199,113,,,
Georgia,Europe,1855289,46508,,,,17132,429,,,
Tajikistan,Europe,17786,186,,,,125,1,,,
France,Europe,38997490,59960,,,,167985,258,,,
Guinea,Africa,38572,294,,,,468,4,,,
Iran (Islamic Republic of),Eastern Mediterranean,7626527,9080,,,,146799,175,,,
Malawi,Africa,89168,466,,,,2686,14,,,
Senegal,Africa,89050,532,,,,1971,12,,,
Lao People's Democratic Republic,Western Pacific,218924,3009,7,,7,671,9,,,
Uganda,Africa,171890,376,,,,3632,8,,,
Ghana,Africa,171834,553,,,,1462,5,,,
Netherlands (Kingdom of the),Europe,8634548,49602,208,1,208,22986,132,,,
New Zealand,Western Pacific,2480250,51434,4704,98,4704,3788,79,20,,20
Brunei Darussalam,Western Pacific,343075,78421,273,62,273,178,41,,,
Afghanistan,Eastern Mediterranean,231779,595,235,1,235,7982,21,1,,1
United States of America,Americas,103436829,31250,,,,1172789,354,,,
Syrian Arab Republic,Eastern Mediterranean,57423,328,,,,3163,18,,,
Republic of Moldova,Europe,634508,15729,378,9,378,12206,303,4,,4
Ethiopia,Africa,501117,436,,,,7574,7,,,
Chefoo,Other,5,,,,,0,,,,
Singapore,Western Pacific,2998665,51256,4370,75,4370,1954,33,,,
Morocco,Eastern Mediterranean,1278944,3465,100,,100,16301,44,,,
Indonesia,South-East Asia,6828326,2496,58,,58,162050,59,-4,,-4
Thailand,South-East Asia,4766255,6828,537,1,537,34560,50,5,,5
India,South-East Asia,45027151,3263,1012,,1012,533462,39,8,,8
"Bonaire, Saint Eustatius and Saba",Americas,11922,,,,,41,,,,
Saudi Arabia,Eastern Mediterranean,841469,2417,,,,9646,28,,,
Kuwait,Eastern Mediterranean,667094,15621,68,2,68,2570,60,,,
Lebanon,Eastern Mediterranean,1239904,18166,,,,10947,160,,,
Sint Maarten (Dutch part),Americas,11051,25771,,,,92,215,,,
China,Western Pacific,99330516,6751,1267,,1267,121946,8,,,
Bosnia and Herzegovina,Europe,403565,12301,,,,16382,499,,,
Jordan,Eastern Mediterranean,1746997,17122,,,,14122,138,,,
Tunisia,Eastern Mediterranean,1153361,9759,,,,29423,249,,,
Poland,Europe,6657552,17539,1793,5,1793,120642,318,24,,24
Greece,Europe,5618747,52421,3376,31,3376,38887,363,40,,40
Pakistan,Eastern Mediterranean,1580631,716,,,,30656,14,,,
Bahrain,Eastern Mediterranean,696614,40939,,,,1536,90,,,
Sri Lanka,South-East Asia,672747,3142,2,,2,16897,79,1,,1
Portugal,Europe,5642464,54803,247,2,247,28103,273,10,,10
New Caledonia,Western Pacific,80064,28044,,,,314,110,,,
Switzerland,Europe,4451779,51438,393,5,393,14179,164,,,
Philippines,Western Pacific,4140383,3778,,,,66864,61,,,
Romania,Europe,3522452,18224,1619,8,1619,68690,355,6,,6
North Macedonia,Europe,350520,16825,11,1,11,9971,479,,,
Solomon Islands,Western Pacific,25954,3779,,,,199,29,,,
Lithuania,Europe,1363677,48806,782,28,782,9794,351,1,,1
Myanmar,South-East Asia,641756,1179,26,,26,19494,36,,,
Malaysia,Western Pacific,5272517,16290,,,,37347,115,,,
Papua New Guinea,Western Pacific,46864,524,,,,670,7,,,
Saint Kitts and Nevis,Americas,6607,12421,,,,46,86,,,
Qatar,Eastern Mediterranean,514524,17859,,,,690,24,,,
Libya,Eastern Mediterranean,507269,7382,,,,6437,94,,,
Czechia,Europe,4762481,44534,858,8,858,43517,407,8,,8
Luxembourg,Europe,391037,62455,109,17,109,1000,160,,,
Italy,Europe,26706764,44779,759,1,759,196386,329,7,,7
Central African Republic,Africa,15440,320,,,,113,2,,,
Antigua and Barbuda,Americas,9106,9299,,,,146,149,,,
Ukraine,Europe,5538061,12663,345,1,345,109918,251,,,
Oman,Eastern Mediterranean,399449,7822,,,,4628,91,,,
Somalia,Eastern Mediterranean,27334,172,,,,1361,9,,,
Slovakia,Europe,1877378,34398,121,2,121,21219,389,,,
Slovenia,Europe,1355637,64682,92,4,92,10004,477,2,,2
Saint Martin (French part),,12324,31879,,,,46,119,,,
Ecuador,Americas,1066530,6045,473,3,473,36031,204,,,
